product_id,sku,product_name,category,base_price_zar,gross_margin_pct,lead_campaign_channel,campaign_focus_flag,performance_group,_source_note
SKU-HOME-001,SKU-HOME-001,Bamboo Storage Set,Home Organisation,149.00,0.46,Google Ads,true,top_10,source_export
SKU-HOME-002,SKU-HOME-002,Loadshedding LED Lamp, HOME ESSENTIALS ,R 229.00,0.41,Google Ads,true,top_10,source_export
SKU-BED-001,SKU-BED-001,Cotton Bedding Bundle,Bedroom,699.00,"0,38",CM360,true,top_10,source_export
SKU-KIT-001,SKU-KIT-001,Airtight Pantry Labels,Kitchen,89.00,0.55,Google Ads,true,top_10,source_export
SKU-KIT-002,SKU-KIT-002,Ceramic Dinner Set,Kitchen,599.00,0.34,CM360,true,top_10,source_export
SKU-LIFE-001,SKU-LIFE-001,Reusable Shopper Totes,Lifestyle,R 79.00,0.52,YouTube,true,top_10,source_export
SKU-BATH-001,SKU-BATH-001,Bath Towel Bundle,Bathroom,399.00,0.37,Google Ads,true,top_10,source_export
SKU-WORK-001,SKU-WORK-001,Desk Organiser,Workspace,249.00,0.43,DV360,true,top_10,source_export
SKU-KIT-003,SKU-KIT-003,Digital Kitchen Scale,Kitchen,219.00,0.39,Google Ads,true,top_10,source_export
SKU-LIFE-002,SKU-LIFE-002,Scented Candle Duo, LIFESTYLE ,119.00,0.49,YouTube,true,top_10,source_export
SKU-OUT-001,SKU-OUT-001,Outdoor Beanbag, OUTDOOR ,R 799.00,0.25,DV360,true,worst_10,source_export
SKU-DEC-001,SKU-DEC-001,Glass Terrarium, DECOR ,329.00,0.31,DV360,true,worst_10,source_export
SKU-BED-002,SKU-BED-002,Luxury Throw Blanket,Bedroom,549.00,"0,29",CM360,true,worst_10,source_export
SKU-LIFE-003,SKU-LIFE-003,Kids Tee Bundle,Lifestyle,189.00,0.36,YouTube,true,worst_10,source_export
SKU-KIT-004,SKU-KIT-004,Copper Water Bottle,Kitchen,179.00,"0,33",DV360,true,worst_10,source_export
SKU-DEC-002,SKU-DEC-002,Minimal Wall Clock,Decor,289.00,0.32,CM360,true,worst_10,source_export
SKU-PET-001,SKU-PET-001,Round Pet Bed,Pet,449.00,0.28,DV360,true,worst_10,source_export
SKU-WELL-001,SKU-WELL-001,Yoga Mat,Wellness,R 259.00,0.35,YouTube,true,worst_10,source_export
SKU-LIFE-004,SKU-LIFE-004,Insulated Travel Mug,Lifestyle,169.00,"0,38",DV360,true,worst_10,source_export
SKU-DEC-003,SKU-DEC-003,Decorative Vase,Decor,249.00,0.30,CM360,true,worst_10,source_export
SKU-HOME-003,SKU-HOME-003,Foldable Laundry Basket,Home Organisation,159.00,0.42,Organic Search,false,supporting_catalog,source_export
SKU-KIT-005,SKU-KIT-005,Silicone Utensil Set,Kitchen,R 139.00,0.48,Organic Search,false,supporting_catalog,source_export
SKU-BATH-002,SKU-BATH-002,Soap Dispenser Set,Bathroom,129.00,0.44,Direct,false,supporting_catalog,source_export
SKU-DEC-004,SKU-DEC-004,Linen Cushion Cover,Decor,R 149.00,0.36,Direct,false,supporting_catalog,source_export
SKU-WORK-002,SKU-WORK-002,Cable Management Box,Workspace,R 199.00,0.41,Google Ads,false,supporting_catalog,source_export
SKU-PET-002,SKU-PET-002,Pet Feeding Mat,Pet,119.00,"0,40",Organic Search,false,supporting_catalog,source_export
SKU-LIFE-005,SKU-LIFE-005,Weekend Cooler Bag,Lifestyle,299.00,0.34,Email,false,supporting_catalog,source_export
SKU-HOME-004,SKU-HOME-004,Underbed Storage Bag,Home Organisation,189.00,0.43,Google Ads,false,supporting_catalog,source_export
SKU-KIT-006,SKU-KIT-006,Reusable Food Wraps,Kitchen,99.00,0.50,YouTube,false,supporting_catalog,source_export
SKU-BED-003,SKU-BED-003,Pillow Protector Pair,Bedroom,R 159.00,0.39,Email,false,supporting_catalog,source_export
SKU-BAD-001,SKU-BAD-001,,Decor,249.00,0.30,CM360,true,worst_10,dirty_catalog_export
SKU-BAD-002,SKU-BAD-002,,Kitchen,139.00,0.48,Organic Search,false,supporting_catalog,dirty_catalog_export
SKU-BAD-003,SKU-BAD-003,,Lifestyle,169.00,0.38,DV360,true,worst_10,dirty_catalog_export
SKU-BAD-004,SKU-BAD-004,Pillow Protector Pair,Bedroom,-10,0.39,Email,false,supporting_catalog,dirty_catalog_export
SKU-BAD-005,SKU-BAD-005,Ceramic Dinner Set,Kitchen,-10,0.34,CM360,true,top_10,dirty_catalog_export
SKU-BATH-002,SKU-BATH-002,Soap Dispenser Set,Bathroom,129.00,0.44,Direct,false,supporting_catalog,catalog_duplicate
SKU-BATH-001,SKU-BATH-001,Bath Towel Bundle,Bathroom,399.00,0.37,Google Ads,true,top_10,catalog_duplicate
SKU-WORK-001,SKU-WORK-001,Desk Organiser,Workspace,249.00,0.43,DV360,true,top_10,catalog_duplicate
SKU-KIT-006,SKU-KIT-006,Reusable Food Wraps,Kitchen,99.00,0.50,YouTube,false,supporting_catalog,catalog_duplicate
SKU-OUT-001,SKU-OUT-001,Outdoor Beanbag, OUTDOOR ,R 799.00,0.25,DV360,true,worst_10,catalog_duplicate
